title,url,publication_date,issuing_department,ai_score,full_text
关于国家标准《网络安全技术 互联网恶意软件定义与描述格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250530155543,2025-05-30,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 互联网恶意软件定义与描述格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年07月29日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
05
月
30
日

--- 相关附件 ---
- 网络安全技术 互联网恶意软件定义与描述格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250530155543
- 网络安全技术 互联网恶意软件定义与描述格式-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250530155543
"
关于国家标准《网络安全技术 计算机基本输入输出系统（BIOS）安全技术规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250530155606,2025-05-30,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 计算机基本输入输出系统（BIOS）安全技术规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年07月29日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
05
月
30
日

--- 相关附件 ---
- 网络安全技术 计算机基本输入输出系统（BIOS）安全技术规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250530155606
- 网络安全技术 计算机基本输入输出系统（BIOS）安全技术规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250530155606
"
关于国家标准《网络安全技术 SM2密码算法加密和签名消息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104306,2025-04-25,全国信息安全标准化技术委员会,13,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 SM2密码算法加密和签名消息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 SM2密码算法加密和签名消息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104306
- 网络安全技术 SM2密码算法加密和签名消息格式-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427104306
"
关于国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104334,2025-04-25,全国信息安全标准化技术委员会,13,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 SM9密码算法加密签名消息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104726
- 《网络安全技术 SM9密码算法加密签名消息格式》 送审稿编制说明.doc: https://www.tc260.org.cn/sysFile/downloadFile/11f175d5b51e4281be8239207c338809
"
关于国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104351,2025-04-25,全国信息安全标准化技术委员会,13,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 SM9密码算法加密签名消息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104726
- 《网络安全技术 SM9密码算法加密签名消息格式》 送审稿编制说明.doc: https://www.tc260.org.cn/sysFile/downloadFile/11f175d5b51e4281be8239207c338809
"
关于国家标准《网络安全技术 密码应用标识》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104421,2025-04-25,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 密码应用标识》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 密码应用标识-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104421
- 5.2-《网络安全技术 密码应用标识》送审稿编制说明.pdf: https://www.tc260.org.cn/sysFile/downloadFile/e069e6ad8b854bf5835e16ce09c403d1
"
关于国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104449,2025-04-25,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 二元序列随机性检测方法-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104700
- 网络安全技术 二元序列随机性检测方法--标准送审稿编制说明.pdf: https://www.tc260.org.cn/sysFile/downloadFile/9abf2568c1bb487b9033a3a9b935664b
"
关于国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104504,2025-04-25,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 二元序列随机性检测方法-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104700
- 网络安全技术 二元序列随机性检测方法--标准送审稿编制说明.pdf: https://www.tc260.org.cn/sysFile/downloadFile/9abf2568c1bb487b9033a3a9b935664b
"
关于国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104700,2025-04-25,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 二元序列随机性检测方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 二元序列随机性检测方法-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104700
- 网络安全技术 二元序列随机性检测方法--标准送审稿编制说明.pdf: https://www.tc260.org.cn/sysFile/downloadFile/9abf2568c1bb487b9033a3a9b935664b
"
关于国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104726,2025-04-25,全国信息安全标准化技术委员会,13,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 SM9密码算法加密签名消息格式》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 SM9密码算法加密签名消息格式-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104726
- 《网络安全技术 SM9密码算法加密签名消息格式》 送审稿编制说明.doc: https://www.tc260.org.cn/sysFile/downloadFile/11f175d5b51e4281be8239207c338809
"
关于国家标准《网安安全技术 秘密分享技术机制》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104800,2025-04-25,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网安安全技术 秘密分享技术机制》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网安安全技术 秘密分享技术机制-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104800
- 网安安全技术 秘密分享技术机制-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427104800
"
关于国家标准《网络安全技术 量子密钥分发的安全要求、测试和评估方法 第1部分：要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104834,2025-04-25,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 量子密钥分发的安全要求、测试和评估方法 第1部分：要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 量子密钥分发的安全要求、测试和评估方法 第1部分：要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104834
- 网络安全技术 量子密钥分发的安全要求、测试和评估方法 第1部分：要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427104834
"
关于国家标准《网络安全技术 量子密钥分发的安全要求、测试和评估方法 第2部分：测试和评估方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104900,2025-04-25,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 量子密钥分发的安全要求、测试和评估方法 第2部分：测试和评估方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 量子密钥分发的安全要求、测试和评估方法 第2部分：测试和评估方法-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104900
- 网络安全技术 量子密钥分发的安全要求、测试和评估方法 第2部分：测试和评估方法-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427104900
"
关于国家标准《网络安全技术 具有中央处理器的IC卡芯片安全规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427104929,2025-04-25,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 具有中央处理器的IC卡芯片安全规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 具有中央处理器的IC卡芯片安全规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427104929
- 网络安全技术 具有中央处理器的IC卡芯片安全规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427104929
"
关于国家标准《网络安全技术 移动终端安全技术规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250427105007,2025-04-25,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 移动终端安全技术规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年06月24日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
04
月
25
日

--- 相关附件 ---
- 网络安全技术 移动终端安全技术规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250427105007
- 网络安全技术 移动终端安全技术规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250427105007
"
关于国家标准《网络安全技术　网络安全事件管理　第2部分：事件响应规划和准备指南》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250320164703,2025-03-20,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术　网络安全事件管理　第2部分：事件响应规划和准备指南》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年05月19日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
03
月
20
日

--- 相关附件 ---
- 网络安全技术　网络安全事件管理　第2部分：事件响应规划和准备指南-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250320164703
- 网络安全技术　网络安全事件管理　第2部分：事件响应规划和准备指南-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250320164703
"
关于国家标准《网络安全技术 网络安全事件管理 第1部分 原理和过程》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250320164724,2025-03-20,全国信息安全标准化技术委员会,8,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 网络安全事件管理 第1部分 原理和过程》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年05月19日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
03
月
20
日

--- 相关附件 ---
- 网络安全技术 网络安全事件管理 第1部分 原理和过程-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250320164724
- 20251020.--网络安全事件管理 第1部分 原理和过程--编制说明（送审稿）.doc: https://www.tc260.org.cn/sysFile/downloadFile/1b7140aca2584282853d7ce8b8dc1776
"
关于国家标准《网络安全技术　信息安全管理体系审核和认证机构要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250320164746,2025-03-20,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术　信息安全管理体系审核和认证机构要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年05月19日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
03
月
20
日

--- 相关附件 ---
- 网络安全技术　信息安全管理体系审核和认证机构要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250320164746
- 网络安全技术　信息安全管理体系审核和认证机构要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250320164746
"
关于国家标准《网络安全技术 基于互联网电子政务信息安全实施指南 第1部分：总则》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20241202105809,2024-12-02,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 基于互联网电子政务信息安全实施指南 第1部分：总则》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年01月31日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2024
年
12
月
02
日

--- 相关附件 ---
- 网络安全技术 基于互联网电子政务信息安全实施指南 第1部分：总则-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20241202105809
- 网络安全技术 基于互联网电子政务信息安全实施指南 第1部分：总则-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20241202105809
"
